Title,Valence,Genre,Energy
Foster The People - Pumped Up Kicks (Official Video),0.965,indietronica,0.71
Ariana Grande - 7 rings (Official Video),0.327,pop,0.317
Uncle Lucius - Keep The Wolves Away,0.144,classic texas country,0.351
4 Non Blondes - What's Up (Official Music Video),0.366,new wave pop,0.67
"Shawn Mendes, Camila Cabello - Señorita",0.749,canadian pop,0.548
Jason Aldean - Burnin' It Down,0.64,contemporary country,0.795
The Echelon Effect - Your First Light My Eventide,0.224,ambient post-rock,0.649
Eluveitie - Meet The Enemy,0.134,celtic metal,0.996
Death Grips - Get Got,0.405,escape room,0.993
Kings Of Leon - Sex on Fire (Official Video),0.374,modern rock,0.905
Motorama - Warm Eyelids,0.445,deep gothic post-punk,0.941
Sting - Desert Rose,0.13,permanent wave,0.654
Imagine Dragons - Demons (Official Music Video),0.428,modern rock,0.71
J. Cole - Wet Dreamz,0.539,conscious hip hop,0.722
Sabaton - Carolus Rex,0.241,power metal,0.846
The Thermals - Now We Can See,0.786,indie punk,0.894
Mario - Let Me Love You (Official Video),0.607,dance pop,0.593
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",0.65,pop,0.726
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),0.274,dance pop,0.809
Katy Perry - Firework (Official Music Video),0.648,pop,0.832
Morgan Wallen - Chasin' You (Dream Video),0.489,contemporary country,0.591
Galantis - Runaway (U & I),0.383,dance pop,0.805
Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],0.328,alternative rock,0.767
Evenings - Babe,0.654,chillwave,0.647
Taylor Swift - You Belong With Me,0.474,pop,0.773
Childish Gambino - This Is America,0.549,atl hip hop,0.463
Sean Kingston - Beautiful Girls,0.769,dance pop,0.661
Meshuggah - Break Those Bones Whose Sinews Gave It Motion,0.266,alternative metal,0.96
Adele - Someone Like You (Official Music Video),0.294,british soul,0.319
Nils Frahm - Said And Done,0.0641,compositional ambient,0.579
Taylor Swift - Love Story,0.296,pop,0.741
Avril Lavigne - Complicated (Official Video),0.427,canadian pop,0.776
Miley Cyrus - Wrecking Ball (Official Video),0.349,pop,0.422
Shania Twain - From This Moment On,0.103,canadian country,0.323
The Weeknd - Save Your Tears (Official Music Video),0.644,canadian contemporary r&b,0.826
Frankie Rose - Know Me,0.705,chillwave,0.731
Luke Combs - She Got the Best of Me,0.7,contemporary country,0.907
Daft Punk - One More Time,0.476,electro,0.697
Taylor Swift - 22,0.668,pop,0.729
OneRepublic - I Aint Worried (From Top Gun_ Maverick) [Official Music Video],0.825,piano rock,0.797
Bruno Mars - 24K Magic (Official Music Video),0.632,dance pop,0.803
Guns N' Roses - Sweet Child O' Mine (Official Music Video),0.624,glam metal,0.952
Sean Paul - I'm Still In Love With You (Official Video),0.765,dance pop,0.669
Starship - Nothing's Gonna Stop Us Now (Official Music Video) [HD],0.53,album rock,0.802
Jason Aldean - Dirt Road Anthem,0.644,contemporary country,0.74
"Jeremy Messersmith - A Girl, a Boy, and a Graveyard (1)",0.427,minneapolis indie,0.139
Bastille - Pompeii (Official Music Video),0.571,metropopolis,0.715
John Legend - All of Me (Official Video),0.331,neo soul,0.264
Britney Spears - ...Baby One More Time,0.907,dance pop,0.699
Pictureplane - Goth Star,0.655,grave wave,0.83
Sam Smith - I'm Not The Only One (Official Music Video),0.559,pop,0.517
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie) [Official Video],0.792,pop,0.73
Lindsey Stirling - Roundtable Rival (Official Music Video),0.619,bow pop,0.877
Juice WRLD - Lucid Dreams,0.218,chicago rap,0.566
The Chainsmokers - Roses ft. ROZES,0.12,karaoke,0.504
Nirvana - Smells Like Teen Spirit (Official Music Video),0.72,grunge,0.912
Khalid - Young Dumb & Broke (Official Video),0.394,pop,0.539
Best Coast - The Only Place,0.747,indie rock,0.808
The Outfield - Your Love (Official HD Video),0.621,album rock,0.654
Michael Jackson - Beat It (Official 4K Video),0.901,r&b,0.711
Ed Sheeran - Thinking Out Loud (Official Music Video),0.591,pop,0.445
Snowing - Important Things (Specter Magic),0.193,midwest emo,0.927
The Verve - Bitter Sweet Symphony,0.518,britpop,0.917
The Dead South - In Hell I'll Be In Good Company [Official Music Video],0.703,saskatchewan indie,0.235
XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),0.711,emo rap,0.537
"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",0.312,dance pop,0.485
Amy Winehouse - Back To Black,0.378,british soul,0.422
Guns N' Roses - November Rain,0.226,glam metal,0.641
Evanescence - Bring Me To Life (Official HD Music Video),0.296,alternative metal,0.943
Dads - Shit Twins,0.259,alternative emo,0.583
Rihanna - Diamonds,0.393,barbadian pop,0.71
"Billie Eilish, Khalid - lovely (Official Music Video)",0.12,art pop,0.296
Red Hot Chili Peppers - Scar Tissue [Official Music Video],0.547,alternative rock,0.717
Khalid - Better (Official Video),0.112,pop,0.586
Creedence Clearwater Revival - Have You Ever Seen The Rain (Official),0.774,album rock,0.697
The War on Drugs - Baby Missiles,0.66,chamber pop,0.949
"Y2K, bbno$ - Lalala (Official Video)",0.495,pop rap,0.39
Daddy Yankee - Limbo (Video Oficial),0.917,latin hip hop,0.875
Katy Perry - The One That Got Away (Official Music Video),0.876,pop,0.795
Future Islands - Tin Man,0.28,alternative dance,0.68
Lukas Graham - 7 Years [Official Music Video],0.34,danish pop,0.473
Bloodhound Gang - The Bad Touch (Official Video),0.97,alternative metal,0.735
Travis Scott - HIGHEST IN THE ROOM (Official Music Video),0.0605,hip hop,0.427
