Epoch 1/100, D Loss: 3.611754894256592, G Loss: 114.07421112060547
Epoch 2/100, D Loss: -8.94284725189209, G Loss: 170.06454467773438
Epoch 3/100, D Loss: 37.73747634887695, G Loss: -58.78548812866211
Epoch 4/100, D Loss: -11.501151084899902, G Loss: 6.942026138305664
Epoch 5/100, D Loss: 4.8931450843811035, G Loss: 57.08274841308594
Epoch 6/100, D Loss: 3.936391592025757, G Loss: 79.55516052246094
Epoch 7/100, D Loss: 21.799060821533203, G Loss: -22.507892608642578
Epoch 8/100, D Loss: -8.224291801452637, G Loss: -95.18045043945312
Epoch 9/100, D Loss: -7.498330116271973, G Loss: -3.4301598072052
Epoch 10/100, D Loss: -22.03148651123047, G Loss: -19.4368896484375
Epoch 11/100, D Loss: 6.325784683227539, G Loss: 29.15000343322754
Epoch 12/100, D Loss: -13.95169448852539, G Loss: 23.881362915039062
Epoch 13/100, D Loss: 1.1957457065582275, G Loss: -38.43045425415039
Epoch 14/100, D Loss: -5.237999439239502, G Loss: -20.61199188232422
Epoch 15/100, D Loss: -1.3619904518127441, G Loss: -45.226051330566406
Epoch 16/100, D Loss: 11.337230682373047, G Loss: -16.82170295715332
Epoch 17/100, D Loss: 30.592971801757812, G Loss: -70.2596435546875
Epoch 18/100, D Loss: -13.245246887207031, G Loss: -28.931148529052734
Epoch 19/100, D Loss: -9.25393009185791, G Loss: 44.5745964050293
Epoch 20/100, D Loss: -11.795745849609375, G Loss: 57.55792236328125
Epoch 21/100, D Loss: -38.66093063354492, G Loss: 5.2094268798828125
Epoch 22/100, D Loss: -2.1490461826324463, G Loss: -22.056303024291992
Epoch 23/100, D Loss: -21.20831298828125, G Loss: 51.94641876220703
Epoch 24/100, D Loss: 10.679793357849121, G Loss: -27.58059310913086
Epoch 25/100, D Loss: 3.1848506927490234, G Loss: 18.49264907836914
Epoch 26/100, D Loss: 2.4619526863098145, G Loss: 19.583566665649414
Epoch 27/100, D Loss: -3.1771883964538574, G Loss: -27.082443237304688
Epoch 28/100, D Loss: -5.398392200469971, G Loss: 87.53132629394531
Epoch 29/100, D Loss: -9.710626602172852, G Loss: 9.986249923706055
Epoch 30/100, D Loss: -23.463993072509766, G Loss: 11.771923065185547
Epoch 31/100, D Loss: -12.511262893676758, G Loss: 37.628570556640625
Epoch 32/100, D Loss: -14.942179679870605, G Loss: 7.023271560668945
Epoch 33/100, D Loss: 15.986318588256836, G Loss: -5.769707679748535
Epoch 34/100, D Loss: -37.06637191772461, G Loss: 43.41771697998047
Epoch 35/100, D Loss: -21.141353607177734, G Loss: 9.369963645935059
Epoch 36/100, D Loss: -8.213407516479492, G Loss: -9.712165832519531
Epoch 37/100, D Loss: -3.8475840091705322, G Loss: -31.87499237060547
Epoch 38/100, D Loss: -14.961702346801758, G Loss: 4.316161155700684
Epoch 39/100, D Loss: -1.992200255393982, G Loss: 22.781829833984375
Epoch 40/100, D Loss: 1.4029958248138428, G Loss: 10.756945610046387
Epoch 41/100, D Loss: -4.034519195556641, G Loss: 38.68467330932617
Epoch 42/100, D Loss: 17.91508674621582, G Loss: 36.102230072021484
Epoch 43/100, D Loss: -3.708404302597046, G Loss: -50.805091857910156
Epoch 44/100, D Loss: 0.05419158935546875, G Loss: 23.831188201904297
Epoch 45/100, D Loss: -11.580683708190918, G Loss: -3.3840718269348145
Epoch 46/100, D Loss: -11.099817276000977, G Loss: 15.06031608581543
Epoch 47/100, D Loss: 0.9110119342803955, G Loss: 109.952392578125
Epoch 48/100, D Loss: -0.7868355512619019, G Loss: 80.94660949707031
Epoch 49/100, D Loss: -15.47429084777832, G Loss: 6.787878513336182
Epoch 50/100, D Loss: 16.244815826416016, G Loss: 37.46995162963867
Epoch 51/100, D Loss: -10.44831657409668, G Loss: 58.32768249511719
Epoch 52/100, D Loss: 0.3004021644592285, G Loss: 51.25304412841797
